"task_id","run_id","imputation","cell_id","scenario","n","validated","m","k","chunk_id","chunks_per_cell","reps","reps_per_cell","base_seed"
197,"gs_n2000_full_20260901_r2","pmm",4,"GS",2000,500,5,30,47,50,50,2500,8802300
198,"gs_n2000_full_20260901_r2","pmm",4,"GS",2000,500,5,30,48,50,50,2500,8802350
199,"gs_n2000_full_20260901_r2","pmm",4,"GS",2000,500,5,30,49,50,50,2500,8802400
200,"gs_n2000_full_20260901_r2","pmm",4,"GS",2000,500,5,30,50,50,50,2500,8802450
201,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,1,50,50,2500,8900000
202,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,2,50,50,2500,8900050
203,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,3,50,50,2500,8900100
204,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,4,50,50,2500,8900150
205,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,5,50,50,2500,8900200
206,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,6,50,50,2500,8900250
207,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,7,50,50,2500,8900300
208,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,8,50,50,2500,8900350
209,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,9,50,50,2500,8900400
210,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,10,50,50,2500,8900450
211,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,11,50,50,2500,8900500
212,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,12,50,50,2500,8900550
213,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,13,50,50,2500,8900600
214,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,14,50,50,2500,8900650
215,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,15,50,50,2500,8900700
216,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,16,50,50,2500,8900750
217,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,17,50,50,2500,8900800
218,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,18,50,50,2500,8900850
219,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,19,50,50,2500,8900900
220,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,20,50,50,2500,8900950
221,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,21,50,50,2500,8901000
222,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,22,50,50,2500,8901050
223,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,23,50,50,2500,8901100
224,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,24,50,50,2500,8901150
225,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,25,50,50,2500,8901200
226,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,26,50,50,2500,8901250
227,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,27,50,50,2500,8901300
228,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,28,50,50,2500,8901350
229,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,29,50,50,2500,8901400
230,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,30,50,50,2500,8901450
231,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,31,50,50,2500,8901500
232,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,32,50,50,2500,8901550
233,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,33,50,50,2500,8901600
234,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,34,50,50,2500,8901650
235,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,35,50,50,2500,8901700
236,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,36,50,50,2500,8901750
237,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,37,50,50,2500,8901800
238,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,38,50,50,2500,8901850
239,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,39,50,50,2500,8901900
240,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,40,50,50,2500,8901950
241,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,41,50,50,2500,8902000
